K_SGH,"V_SGHNAVN","K_FRADTO","D_TILDTO","C_SGHTYPE","C_INSTART","C_REGION","C_SORID","Region","Institution"
1331,"KØBENHAVN, ALKO-AMB. FORCHHAMM",1976-04-01,1982-12-31,2,133,1084,6111000016004,"Hovedstaden","Privat"
1331,"KØBENHAVN,ALKO-AMB.FORCHAMMERS",1983-01-01,1985-12-31,1,133,1084,6111000016004,"Hovedstaden","Øvrige"
1333,"STRANDBJERG REKONVALESCENTHJEM",1983-01-01,1994-08-12,1,141,1084,6111000016004,"Hovedstaden","Øvrige"
1334,"DIAKONISSESTIFTELSEN, KBH.KOM.",1986-11-18,1986-11-23,1,450,1084,6111000016004,"Hovedstaden","Øvrige"
1334,"DIAKONISSESTIFTELSEN, KBH.KOM",1986-11-24,1994-08-12,1,450,1084,6111000016004,"Hovedstaden","Øvrige"
1334,"CENTER FOR HJERNESKADE",1995-10-10,1995-11-14,2,139,1084,6111000016004,"Hovedstaden","Privat"
1335,"SKODSBORG BAD KBH. KOM.",1986-11-18,1986-11-23,1,450,1084,6111000016004,"Hovedstaden","Øvrige"
1335,"SKODSBORG BAD, KBH.KOM",1986-11-24,1994-08-12,1,450,1084,6111000016004,"Hovedstaden","Øvrige"
1336,"Center for Hjerneskade",1995-11-15,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1337,"Diakonissestiftelsens Hospice",2000-01-01,2500-01-01,2,170,1084,6111000016004,"Hovedstaden","Privat"
1338,"Ambulatoriet Stæren",2001-01-01,2018-09-30,2,180,1084,6111000016004,"Hovedstaden","Privat"
1339,"Åreknudeklinikken",2002-01-01,2005-09-30,2,161,1084,6111000016004,"Hovedstaden","Privat"
1339,"Kirurgisk Center & Åreknudeklinikken",2005-10-01,2012-02-29,2,161,1084,6111000016004,"Hovedstaden","Privat"
1339,"Aareknudeklinikken, København",2012-03-01,2020-03-05,2,161,1084,6111000016004,"Hovedstaden","Privat"
1340,"Dansk Synskirurgi",2002-01-01,2008-01-31,2,161,1084,6111000016004,"Hovedstaden","Privat"
1340,"Memira ApS",2008-02-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1341,"City Eye Clinic",2002-01-01,2020-02-29,2,161,1084,6111000016004,"Hovedstaden","Privat"
1342,"Parkens Privathospital",2002-01-01,2013-10-31,2,161,1084,6111000016004,"Hovedstaden","Privat"
1342,"Teres Hospitalet Parken",2013-11-01,2016-09-14,2,161,1084,6111000016004,"Hovedstaden","Privat"
1343,"ScanSleep  A/S, Søvnmedicinsk Klinik, Københvn",2002-01-01,2014-10-31,2,161,1084,6111000016004,"Hovedstaden","Privat"
1344,"Urologisk Speciallæge Klinik",2002-01-01,2015-02-28,2,161,1084,6111000016004,"Hovedstaden","Privat"
1345,"Christianshavns Kirurgiske Klinik",2002-01-01,2020-02-29,2,161,1084,6111000016004,"Hovedstaden","Privat"
1346,"Øjenlæge Kim Julian",2003-01-01,2016-12-05,2,161,1084,6111000016004,"Hovedstaden","Privat"
1347,"Copenhagen Gastroclinic",2004-01-01,2011-12-31,2,161,1084,6111000016004,"Hovedstaden","Privat"
1348,"Øjenlægernes Hus ApS",2004-01-01,2017-04-24,2,161,1084,6111000016004,"Hovedstaden","Privat"
1348,"Øjenlægernes Hus Privathospital",2017-04-25,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1349,"Ørelægerne på Banegårdspladsen",2004-01-01,2020-02-29,2,161,1084,6111000016004,"Hovedstaden","Privat"
1350,"Klinik for Medicinsk Genetik, Københavns Universitet",2004-01-01,2004-12-31,2,160,1084,6111000016004,"Hovedstaden","Privat"
1350,"Klinik for Medicinsk Genetik, Københavns Universitet",2005-01-01,2019-07-31,3,161,1084,6111000016004,"Hovedstaden",NA
1351,"Amager Hospital",1998-01-01,2500-01-01,1,103,1084,6111000016004,"Hovedstaden","Øvrige"
1352,"Røntgen & Ultralyd",2005-01-01,2005-08-31,2,161,1084,6111000016004,"Hovedstaden","Privat"
1353,"Copenhagen Fertility Center",2005-09-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1354,"Dansk Fertilitetsklinik v. Hans Krog",2005-10-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1355,"N'age København",2007-01-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1356,"Privatøjenlægen",2010-11-01,2020-02-29,2,161,1084,6111000016004,"Hovedstaden","Privat"
1357,"Speciallægeklinik v.Dennis Raahave",2010-10-01,2016-03-31,2,161,1084,6111000016004,"Hovedstaden","Privat"
1358,"Amagerbro Øjenklinik",2011-01-01,2020-02-29,2,161,1084,6111000016004,"Hovedstaden","Privat"
1359,"Lægeklinik Belén Redal",2011-05-01,2019-06-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1360,"Retsmedicinsk Institut, København",2000-01-01,2500-01-01,3,139,1084,6111000016004,"Hovedstaden",NA
1361,"Tandlægehøjskolen, København",2000-01-01,2017-12-31,3,139,1084,6111000016004,"Hovedstaden",NA
1361,"Odontologisk Institut - Tandlægehøjskolen",2018-01-01,2500-01-01,3,139,1084,6111000016004,"Hovedstaden",NA
1362,"Røntgen-Ultralydsklinikken",2004-01-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1363,"Osteoporoseklinikken Christianshavn",2004-01-01,2020-02-29,2,161,1084,6111000016004,"Hovedstaden","Privat"
1364,"Røntgen & Ultralyd v/spec.lægerne T. Lorentsen og C. Nolsøe",2005-01-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1365,"Angelica Lauritzen`s Speciallægeklinik",2004-11-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1366,"Øjenpatologisk Institut",2005-01-01,2019-07-31,3,139,1084,6111000016004,"Hovedstaden",NA
1367,"OASIS Behandling og Rådgivning for flygtninge",2005-01-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1368,"Fertilitetsklinikken Trianglen",2005-09-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1369,"Kirurgisk speciallægeklinik",2005-10-01,2010-01-28,2,161,1084,6111000016004,"Hovedstaden","Privat"
1370,"Rehabiliterings- og Forskningscentret for Torturofre",2006-01-01,2012-12-31,2,161,1084,6111000016004,"Hovedstaden","Privat"
1370,"Dignity - Dansk Institut Mod Tortur",2013-01-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1371,"Den private Smerteklinik(Tværfagligt SmerteTeam",2006-04-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1372,"Cosmeticon ApS",2006-10-01,2011-03-26,2,161,1084,6111000016004,"Hovedstaden","Privat"
1373,"Storkklinik",2006-01-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1374,"Snorkeklinikken og Øre-,Næse-og Halsklinikken",2006-10-01,2020-02-29,2,161,1084,6111000016004,"Hovedstaden","Privat"
1375,"Vitanova",2006-01-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1376,"Amager Øre-, Næse- og Halsklinik",2007-02-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1377,"Røntgenklinikken Nørrevold",2007-01-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1378,"Røntgenklinikken",2007-01-01,2010-01-22,2,161,1084,6111000016004,"Hovedstaden","Privat"
1379,"Hovedstadens Plastikkirurgi",2007-06-01,2016-12-31,2,161,1084,6111000016004,"Hovedstaden","Privat"
1380,"Vein Care Clinic",2008-01-01,2020-02-29,2,161,1084,6111000016004,"Hovedstaden","Privat"
1381,"Øjenklinikken Bellahøj",2007-05-01,2017-04-30,2,161,1084,6111000016004,"Hovedstaden","Privat"
1382,"Pilestræde Røntgen, Unilabs a.s",2008-02-01,2020-02-29,2,161,1084,6111000016004,"Hovedstaden","Privat"
1383,"City Privathospital ApS",2008-01-01,2012-09-30,2,161,1084,6111000016004,"Hovedstaden","Privat"
1384,"Lasik-klinikken ApS",2008-01-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1385,"Frederiksstadens Røntgen og Ultralydsklinik ApS",2008-06-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1386,"Hårklinikken ApS",2007-01-01,2020-02-29,2,161,1084,6111000016004,"Hovedstaden","Privat"
1387,"Øjenlæge Henrik Bom Olesen",2008-07-01,2014-06-23,2,161,1084,6111000016004,"Hovedstaden","Privat"
1387,"Privatklinik Hørsholm I/S",2014-06-24,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1389,"Curato AS, Esplanaden",2008-12-01,2010-01-21,2,161,1084,6111000016004,"Hovedstaden","Privat"
1390,"Ellitsgaards Privatklinik",2009-01-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1391,"Præventions- og Rådgivningsklinikken",2009-01-01,2020-02-29,2,161,1084,6111000016004,"Hovedstaden","Privat"
1392,"Hudklinikken Trianglen",2009-05-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1393,"Tørholms Ortopædiske Klinik",2009-07-01,2020-02-29,2,161,1084,6111000016004,"Hovedstaden","Privat"
1394,"Center for Psykiatri og Eksistens",2010-01-25,2500-01-01,2,162,1084,6111000016004,"Hovedstaden","Privat"
1395,"Ulrichsens Klinik, Psykiatri&Psykologi",2010-03-04,2500-01-01,2,162,1084,6111000016004,"Hovedstaden","Privat"
1396,"Speciallæge Juergen Schwarzenburg",2010-04-06,2500-01-01,2,162,1084,6111000016004,"Hovedstaden","Privat"
1397,"Sellmer Klinik",2010-02-10,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1398,"Exoro ApS",2010-01-01,2020-02-29,2,161,1084,6111000016004,"Hovedstaden","Privat"
1399,"Østerbrogade Øjenklinik",2010-05-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1401,"FREDERIKSBERG HOSPITAL",1976-04-01,1977-12-31,1,101,1084,6111000016004,"Hovedstaden","Øvrige"
1401,"Frederiksberg Hospital",1978-01-01,2014-09-30,1,102,1084,6111000016004,"Hovedstaden","Øvrige"
1410,"Bloddonorerne, Storkøbenhavn",1990-01-18,2009-02-28,2,119,1084,6111000016004,"Hovedstaden","Privat"
1411,"Privathospitalet Hamlet",1994-01-01,2012-02-29,2,161,1084,6111000016004,"Hovedstaden","Privat"
1411,"Aleris-Hamlet Hospitaler",2012-03-01,2500-01-01,2,163,1084,6111000016004,"Hovedstaden","Privat"
1412,"Den Private Høreklinik",2002-01-01,2011-09-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1413,"Øjenklinikken på Speciallægecentret ved Diakonissestiftelsen",2002-01-01,2017-04-30,2,161,1084,6111000016004,"Hovedstaden","Privat"
1414,"Øjenklinikken i haven v. Hans Alrø Jørgensen",2003-01-01,2014-10-31,2,161,1084,6111000016004,"Hovedstaden","Privat"
1414,"Øjenklinikken Diakonissestiftelsen",2014-11-01,2015-07-19,2,161,1084,6111000016004,"Hovedstaden","Privat"
1415,"Øjenlæge Richardt Hansen",2004-01-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1416,"Klinik for øre-,næse- og halssygdomme",2004-11-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1417,"Raskovs Kirurgiske Klinik",2006-01-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1418,"Sygehusvalg Hamburg GmbH",2006-01-01,2020-03-05,2,161,1084,6111000016004,"Hovedstaden","Privat"
1419,"Thava Hamlet",2006-01-01,2010-12-31,2,161,1084,6111000016004,"Hovedstaden","Privat"
1420,"Ultralyd- og Røntgenklinikken ApS, v/Ajay Chauhan",2006-01-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1421,"Røntgen- Ultralyds klinikken",2008-01-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1422,"Frederiksberg Sundhedscenter",2005-10-01,2017-04-30,2,161,1084,6111000016004,"Hovedstaden","Privat"
1423,"Speciallæge i medicinske hormonsygdomme Klaus Kølendorf",2008-01-01,2020-03-05,2,161,1084,6111000016004,"Hovedstaden","Privat"
1424,"Ellitsgaards Privatklinik, plastik-og rekonstruktionskirurgi",2008-05-01,2008-12-31,2,161,1084,6111000016004,"Hovedstaden","Privat"
1425,"Kardiologisk Klinik København",2008-07-01,2010-01-28,2,161,1084,6111000016004,"Hovedstaden","Privat"
1426,"Solbjerg Klinik Frederiksberg I/S",2008-07-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1427,"Skadestuen.nu",2008-08-01,2010-03-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1427,"Kirurgisk Klinik Frederiksberg-Skadestuen.nu",2010-03-02,2011-07-02,2,161,1084,6111000016004,"Hovedstaden","Privat"
1428,"Speciallæge Thomas Kjær Uhlig",2007-01-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1429,"Rungbyklinikken",2008-07-01,2010-09-10,2,161,1084,6111000016004,"Hovedstaden","Privat"
1430,"Hejmdal Privathospital",2007-01-01,2500-01-01,2,162,1084,6111000016004,"Hovedstaden","Privat"
1431,"Klinik for endoskopi og kirurgi v. Michael Rolff",2008-01-01,2012-06-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1431,"Speciallæge Michael Rolff",2012-06-02,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1432,"Pain-Team, Tværfaglig Smerteklinik",2009-07-01,2010-11-05,2,161,1084,6111000016004,"Hovedstaden","Privat"
1433,"Frederiksberg Centeret A/S",2010-03-01,2018-10-31,2,162,1084,6111000016004,"Hovedstaden","Privat"
1434,"Nordic Health Chlinic I/S",2011-01-01,2020-03-05,2,161,1084,6111000016004,"Hovedstaden","Privat"
1435,"EuroEyes Øjenlaser Center",2011-01-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1436,"Øjenlægecentret Frederiksberg",2015-10-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1437,"Rhinoklinikken ApS",2017-09-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1438,"Kirurgisk Klinik /v Kenneth Højsgaard Jensen ApS",2018-03-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1439,"Medicinsk Svedcenter",2018-10-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1500,"Region Hovedstadens Psykiatri",2006-01-01,2500-01-01,1,121,1084,6111000016004,"Hovedstaden","Øvrige"
1501,"Kbh. Amts Sygehus i Gentofte",1976-04-01,2007-01-31,1,102,1084,6111000016004,"Hovedstaden","Øvrige"
1501,"Gentofte Hospital",2007-02-01,2500-01-01,1,102,1084,6111000016004,"Hovedstaden","Øvrige"
1502,"Kbh. Amts Sygehus i Glostrup",1976-04-01,2007-01-31,1,102,1084,6111000016004,"Hovedstaden","Øvrige"
1502,"Glostrup Hospital",2007-02-01,2500-01-01,1,102,1084,6111000016004,"Hovedstaden","Øvrige"
1503,"KØBENHAVNS AMTS SYGEHUS, SCT.",1976-04-01,1977-12-31,1,103,1084,6111000016004,"Hovedstaden","Øvrige"
1503,"KBH. AMT, SCT. ELISABETH",1978-01-01,1999-12-31,1,104,1084,6111000016004,"Hovedstaden","Øvrige"
1504,"LYNGBY, KØBENHAVNS AMTS SYGEHU",1976-04-01,1977-12-31,1,119,1084,6111000016004,"Hovedstaden","Øvrige"
1504,"LYNGBY, KØBENHAVNS AMTS SYGEHU",1978-01-01,1985-12-31,1,111,1084,6111000016004,"Hovedstaden","Øvrige"
1506,"Gentofte Kommune, Tranehaven",1976-04-01,2009-02-28,1,450,1084,6111000016004,"Hovedstaden","Øvrige"
1506,"Gentofte Kommune, Tranehaven",2009-03-01,2010-10-08,1,141,1084,6111000016004,"Hovedstaden","Øvrige"
1507,"GENTOFTE, NIELS STEENSENS HOSP",1976-04-01,1977-12-31,2,119,1084,6111000016004,"Hovedstaden","Privat"
1507,"Steno Diabetes Center",1978-01-01,2016-12-31,2,161,1084,6111000016004,"Hovedstaden","Privat"
1507,"Steno Diabetes Center",2017-01-01,2500-01-01,1,101,1084,6111000016004,"Hovedstaden","Øvrige"
1509,"KAS NORDVANG",1976-04-01,1991-12-31,1,121,1084,6111000016004,"Hovedstaden","Øvrige"
1510,"GENTOFTE, MONTEBELLO DAG- OG N",1976-04-01,1977-12-31,2,124,1084,6111000016004,"Hovedstaden","Privat"
1510,"GENTOFTE, MONTEBELLO DAG- OG N",1978-01-01,1981-12-31,2,121,1084,6111000016004,"Hovedstaden","Privat"
1510,"Gentofte, KAS, Stolpegård",1982-01-01,2005-08-31,1,121,1084,6111000016004,"Hovedstaden","Øvrige"
1511,"SØBORG, LILLEMOSEGÅRD",1976-04-01,1984-12-31,3,420,1084,6111000016004,"Hovedstaden",NA
1511,"Søborg, Lillemosegård",1985-01-01,2008-11-30,1,420,1084,6111000016004,"Hovedstaden","Øvrige"
1511,"Søborg, Lillemosegård",2008-12-01,2010-03-11,1,141,1084,6111000016004,"Hovedstaden","Øvrige"
1512,"VANGEDE, BØRNEHOSPITALET I",1976-04-01,1984-12-31,3,420,1084,6111000016004,"Hovedstaden",NA
1512,"VANGEDE",1985-01-01,1985-12-31,1,420,1084,6111000016004,"Hovedstaden","Øvrige"
1514,"GENTOFTE, OVERFØRSTERGÅRDEN",1976-04-01,1985-12-31,2,133,1084,6111000016004,"Hovedstaden","Privat"
1514,"KISØ (Kennedy Instituttet - Statens Øjenklinik)",2003-01-01,2008-11-30,3,420,1084,6111000016004,"Hovedstaden",NA
1514,"Kennedy Centret",2008-12-01,2013-07-31,3,141,1084,6111000016004,"Hovedstaden",NA
1516,"HERLEV, KØBENHAVNS AMTS SYGEHU",1976-04-01,1977-12-31,1,102,1084,6111000016004,"Hovedstaden","Øvrige"
1516,"Kbh. Amts Sygehus i Herlev",1978-01-01,2007-01-31,1,101,1084,6111000016004,"Hovedstaden","Øvrige"
1516,"Herlev Hospital",2007-02-01,2015-05-08,1,101,1084,6111000016004,"Hovedstaden","Øvrige"
1516,"Herlev og Gentofte Hospital",2015-05-09,2500-01-01,1,101,1084,6111000016004,"Hovedstaden","Øvrige"
1517,"Center for Rygkirurgi A/S",2004-11-01,2015-04-02,2,161,1084,6111000016004,"Hovedstaden","Privat"
1517,"CFR hospitaler A/S",2015-04-03,2017-06-30,2,161,1084,6111000016004,"Hovedstaden","Privat"
1517,"Capio CFR A/S",2017-07-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1520,"Gildhøj Speciallægeklinik",1995-10-11,2008-05-31,2,161,1084,6111000016004,"Hovedstaden","Privat"
1520,"Gildhøj Privathospital",2008-06-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1521,"Søllerød Privathospital",1995-10-12,2011-07-19,2,161,1084,6111000016004,"Hovedstaden","Privat"
1522,"Erichsens Privathospital A/S",1995-10-12,2011-10-26,2,161,1084,6111000016004,"Hovedstaden","Privat"
1523,"Privathospitalet Danmark",1995-10-12,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1524,"Polio-, Trafik-og Ulykkessk.amb",1995-10-10,2009-02-28,2,139,1084,6111000016004,"Hovedstaden","Privat"
1524,"Polio-, Trafik-og Ulykkessk.amb",2009-03-01,2011-09-28,2,161,1084,6111000016004,"Hovedstaden","Privat"
1524,"PTU' s Rehabiliteringscenter",2011-09-29,2011-10-20,2,161,1084,6111000016004,"Hovedstaden","Privat"
1524,"PTU's Rehabiliteringscenter Rødovre",2011-10-21,2017-04-24,2,161,1084,6111000016004,"Hovedstaden","Privat"
1524,"Specialhospitalet for Polio- og Ulykkespatienter",2017-04-25,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1525,"Sankt Lukas Stiftelsen, Dr. Alexandrines hus",1999-07-01,2500-01-01,2,170,1084,6111000016004,"Hovedstaden","Privat"
1526,"Skodsborg Lægecenter A/S",2000-07-01,2016-04-30,2,161,1084,6111000016004,"Hovedstaden","Privat"
1527,"Copenhagen Eye Clinic",2002-01-01,2020-02-22,2,161,1084,6111000016004,"Hovedstaden","Privat"
1528,"Øre-Staden",2002-01-01,2007-12-31,2,161,1084,6111000016004,"Hovedstaden","Privat"
1528,"Herlev Privathospital",2008-01-01,2020-02-20,2,161,1084,6111000016004,"Hovedstaden","Privat"
1529,"Kysthospitalet, Skodsborg",2002-01-01,2020-07-16,2,161,1084,6111000016004,"Hovedstaden","Privat"
1529,"Adeas Skodsborg",2020-07-17,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1530,"Strandvejsklinikken",2002-01-01,2005-01-31,2,161,1084,6111000016004,"Hovedstaden","Privat"
1531,"Øjenhospitalet Danmark ApS",2002-01-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1532,"Hellerup Øjenklinik",2002-01-01,2016-03-31,2,161,1084,6111000016004,"Hovedstaden","Privat"
1533,"Speciallæge i hudsygdomme Jørgen Esmann",2002-01-01,2017-09-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1533,"Dr. Esmanns Klinik",2017-09-02,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1534,"Øjenkirurgisk Center",2002-01-01,2015-07-19,2,161,1084,6111000016004,"Hovedstaden","Privat"
1536,"Struckmanns Klinik",2002-01-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1537,"Øreklinikken i Bagsværd",2002-01-01,2017-04-30,2,161,1084,6111000016004,"Hovedstaden","Privat"
1538,"Sportsklinikken",2002-01-01,2007-03-31,2,161,1084,6111000016004,"Hovedstaden","Privat"
1538,"Københavns Privathospital A/S",2007-04-01,2015-12-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1539,"Skodsborg Røntgen og Ultralyd",2002-01-01,2011-10-07,2,161,1084,6111000016004,"Hovedstaden","Privat"
1540,"Kirurgisk Urologisk Klinik",2003-01-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
1541,"Nygart Privathospital A/S",2003-01-01,2018-10-31,2,161,1084,6111000016004,"Hovedstaden","Privat"
1541,"AK Nygart A/S",2018-11-01,2500-01-01,2,161,1084,6111000016004,"Hovedstaden","Privat"
